site,n_counties,poll_crude_beta,poll_adj_beta,poll_adj_lo,poll_adj_hi,p_value,smoking_beta,r2
Leukaemia,1824,-0.024,-0.020,-0.060,0.021,0.3404,0.072,0.019
NHL,1842,-0.079,-0.080,-0.123,-0.037,0.0003,0.045,0.019
Bladder,2100,-0.135,-0.131,-0.186,-0.075,0.0000,0.203,0.100
Kidney,2094,0.109,0.101,0.061,0.140,0.0000,0.470,0.360
Liver,1439,0.200,0.192,0.104,0.279,0.0000,0.168,0.107
Lung,2599,-0.052,-0.059,-0.107,-0.012,0.0138,0.734,0.491
Melanoma(negctrl),2106,-0.168,-0.148,-0.230,-0.065,0.0004,-0.245,0.071
